vane_AOA, 'Angle of attack', 'deg'
elevator_dte, 'Deflection of elevator trim', 'deg'
column_fe, 'Force on elevator control wheel', 'N'
lh_engine_FU, 'calculated fuel used by fuel mass flow', 'lbs'
rh_engine_FU, 'calculated fuel used by fuel mass flow', 'lbs'
delta_a, 'Deflection of aileron', 'deg'
delta_e, 'Deflection of elevator', 'deg'
delta_r, 'Deflection of rudder' , 'deg'
Gps_utcSec, 'UTC Seconds', 'sec'
Ahrs1_Roll, 'Roll Angle', 'deg'
Ahrs1_Pitch, 'Pitch Angle', 'deg'
Gps_lat, 'GNSS Latitude', 'deg'
Gps_long, 'GNSS Longitude', 'deg'
Ahrs1_bRollRate, 'Body Roll Rate', 'deg/s'
Ahrs1_bPitchRate, 'Body Pitch Rate', 'deg/s'
Ahrs1_bYawRate, 'Body Yaw Rate', 'deg/s'
Dadc1_sat, 'Static Air Temperature', 'deg C'
Dadc1_tat, 'Total Air Temperature', 'deg C'
Dadc1_alt, 'Pressure Altitude (1013.25 mB)', 'ft'
Dadc1_bcAlt, 'Baro Corrected Altitude #1', 'ft'
Dadc1_mach, 'Mach', 'mach'
Dadc1_cas, 'Computed Airspeed', 'knots'
Dadc1_tas, 'True Airspeed', 'knots'
Dadc1_altRate, 'Altitude Rate', 'ft/min'


