vane_AOA, 'Angle of attack', 'deg'
elevator_dte, 'Deflection of elevator trim', 'deg'
column_fe, 'Force on elevator control wheel', 'N'
lh_engine_FMF, 'Engine 1: Fuel mass flow', 'lbs/hr'
rh_engine_FMF, 'Engine 2: Fuel mass flow', 'lbs/hr'
lh_engine_itt, 'Engine 1: Inter Turbine Temperature (ITT)', 'deg C'
rh_engine_itt, 'Engine 2: Inter turbine temperature (ITT)', 'deg C'
lh_engine_OP, 'Engine 1: Oil pressure', 'psi'
rh_engine_OP, 'Engine 2: Oil pressure', 'psi'
lh_engine_fan_N1, 'Engine 1: Fan speed (N1)', '%'
lh_engine_turbine_N2, 'Engine 1: Turbine speed (N2)', '%'
rh_engine_fan_N1, 'Engine 2: Fan speed (N1)', '%'
rh_engine_turbine_N2, 'Engine 2: Turbine speed (N2)', '%'
lh_engine_FU, 'calculated fuel used by fuel mass flow', 'lbs'
rh_engine_FU, 'calculated fuel used by fuel mass flow', 'lbs'
delta_a, 'Deflection of aileron', 'deg'
delta_e, 'Deflection of elevator', 'deg'
delta_r, 'Deflection of rudder' , 'deg'
Gps_date, 'UTC Date DD:MM:YY', 'ddmmyy'
Gps_utcSec, 'UTC Seconds', 'sec'
Ahrs1_Roll, 'Roll Angle', 'deg'
Ahrs1_Pitch, 'Pitch Angle', 'deg'
Fms1_trueHeading, '<no description>', '<no units>'
Gps_lat, 'GNSS Latitude', 'deg'
Gps_long, 'GNSS Longitude', 'deg'
Ahrs1_bRollRate, 'Body Roll Rate', 'deg/s'
Ahrs1_bPitchRate, 'Body Pitch Rate', 'deg/s'
Ahrs1_bYawRate, 'Body Yaw Rate', 'deg/s'
Ahrs1_bLongAcc, 'Body Long Accel', 'g'
Ahrs1_bLatAcc, 'Body Lat Accel', 'g'
Ahrs1_bNormAcc, 'Body Norm Accel', 'g'
Ahrs1_aHdgAcc, 'Along Heading Accel', 'g'
Ahrs1_xHdgAcc, 'Cross Heading Accel', 'g'
Ahrs1_VertAcc, 'Vertical Accel', 'g'
Dadc1_sat, 'Static Air Temperature', 'deg C'
Dadc1_tat, 'Total Air Temperature', 'deg C'
Dadc1_alt, 'Pressure Altitude (1013.25 mB)', 'ft'
Dadc1_bcAlt, 'Baro Corrected Altitude #1', 'ft'
Dadc1_bcAltMb, '<no description>', '<no units>'
Dadc1_mach, 'Mach', 'mach'
Dadc1_cas, 'Computed Airspeed', 'knots'
Dadc1_tas, 'True Airspeed', 'knots'
Dadc1_altRate, 'Altitude Rate', 'ft/min'
measurement_running, 'Measurement Running', '<no units>'
measurement_n_rdy, 'Number of Measurements Ready', '<no units>'
display_graph_state, 'Status of graph', '<no units>'
display_active_screen, 'Active Screen', 
time, 'Time', 'sec'

